Date,Close,Open,High,Low,Volume
2020-01-03,883.28,887.11,890.38,883.18,43220.0
2020-01-06,872.34,882.51,882.51,872.34,36870.0
2020-01-07,876.7,872.32,877.34,870.49,40280.0
2020-01-08,865.18,876.64,876.64,861.51,53100.0
2020-01-09,877.76,867.27,878.43,867.27,45710.0
2020-01-10,885.52,877.85,888.09,877.7,72860.0
2020-01-13,881.79,885.52,885.52,881.35,32549.999999999996
2020-01-14,884.77,881.77,886.83,880.58,50680.0
2020-01-15,885.36,884.95,886.33,882.79,35670.0
2020-01-16,891.96,885.36,892.2,883.83,63480.0
2020-01-17,894.84,891.66,897.63,891.36,48880.0
2020-01-20,897.4,894.6,897.4,891.75,39720.0
2020-01-21,906.52,897.97,907.51,897.97,57330.0
2020-01-22,909.09,906.52,909.41,903.27,51710.0
2020-01-30,875.82,908.2,908.2,870.53,80140.0
2020-01-31,848.63,875.43,876.59,848.63,83270.0
2020-02-03,842.67,848.42,848.42,803.73,91770.0
2020-02-04,845.52,842.79,849.8,833.93,73130.0
2020-02-05,845.31,845.65,854.72,840.41,63590.0
2020-02-06,862.86,845.38,862.86,842.68,97620.0
2020-02-07,863.49,862.71,865.91,858.02,72830.0
2020-02-10,852.87,863.28,863.28,848.21,46860.0
2020-02-11,856.39,853.09,859.38,853.09,70070.0
2020-02-12,863.23,856.64,870.1,856.64,80780.0
2020-02-13,864.16,862.72,864.79,858.46,58430.0
2020-02-14,865.86,865.03,868.84,863.14,74650.0
2020-02-17,866.27,865.83,867.45,862.75,58440.0
2020-02-18,861.71,866.06,866.61,858.61,60230.0
2020-02-19,863.84,860.23,865.4,859.65,52570.0
2020-02-20,871.4,864.0,872.86,864.0,59010.0
2020-02-21,868.89,871.49,877.52,868.59,66760.0
2020-02-24,837.4,867.56,867.56,837.4,95170.0
2020-02-25,849.58,836.54,849.58,827.81,69290.0
2020-02-26,841.68,849.56,849.56,837.52,54640.0
2020-02-27,848.34,841.19,849.18,836.56,55420.0
2020-02-28,831.97,844.02,844.02,823.09,69890.0
2020-03-02,835.42,831.25,837.99,827.23,69310.0
2020-03-03,837.99,835.14,846.21,835.14,64180.00000000001
2020-03-04,837.99,838.02,839.26,831.2,52990.0
2020-03-05,839.12,838.93,846.58,836.32,67020.0
2020-03-06,835.97,838.77,838.77,827.12,53910.0
2020-03-09,782.85,835.65,835.65,781.12,107130.0
2020-03-10,789.51,782.85,794.88,762.34,90060.0
2020-03-11,758.16,789.75,795.98,746.83,99250.0
2020-03-12,719.21,757.9,757.9,710.33,113240.0
2020-03-13,716.65,715.34,722.3,674.36,113470.0
2020-03-16,698.18,716.65,716.65,688.8,74030.0
2020-03-17,699.73,698.0,702.36,673.21,80440.0
2020-03-18,700.65,699.73,705.3,695.42,77440.0
2020-03-19,679.55,699.35,699.35,669.04,73190.0
2020-03-20,673.7,679.78,683.55,668.9,81170.0
2020-03-23,632.86,671.05,671.05,628.46,81060.0
2020-03-24,625.43,632.63,633.97,619.07,85900.0
2020-03-25,652.31,625.83,652.31,625.83,86270.0
2020-03-26,646.7,651.94,655.06,639.02,74100.0
2020-03-27,642.23,646.61,649.17,633.41,102650.0
2020-03-30,613.02,641.92,641.92,605.0,81040.0
2020-03-31,610.76,613.33,629.08,598.6,77470.0
2020-04-01,628.79,609.35,631.6,606.03,73250.0
2020-04-03,649.15,630.37,649.15,630.37,84130.0
2020-04-06,682.65,649.15,682.65,649.15,127160.0
2020-04-07,693.61,682.65,695.45,677.03,117080.0
2020-04-08,691.17,693.66,693.66,675.26,76670.0
2020-04-09,697.85,691.17,704.18,691.17,111270.0
2020-04-10,695.74,697.9,701.77,687.18,146870.0
2020-04-13,706.37,695.84,714.58,695.84,82300.0
2020-04-14,713.81,706.37,713.81,699.03,94920.0
2020-04-15,722.8,714.39,726.2,714.39,91990.0
2020-04-16,726.57,721.73,726.71,714.52,72700.0
2020-04-17,734.98,727.51,736.17,727.51,100570.0
2020-04-20,736.31,736.1,742.27,729.52,99010.0
2020-04-21,706.65,734.14,734.14,702.61,128949.99999999999
2020-04-22,714.42,706.54,718.62,692.03,86110.0
2020-04-23,717.49,715.62,729.99,715.62,63430.0
2020-04-24,725.05,717.49,725.52,711.14,64550.0
2020-04-27,719.66,724.76,735.28,719.66,81800.0
2020-04-28,715.74,719.45,721.73,711.84,64780.0
2020-04-29,715.33,715.74,719.18,713.62,69760.0
2020-05-04,709.35,714.9,716.05,706.47,65870.0
2020-05-05,711.01,710.22,714.59,707.49,48700.0
2020-05-06,725.94,711.34,725.94,709.77,77210.0
2020-05-07,739.98,726.17,739.98,726.17,82600.0
2020-05-08,760.15,740.14,773.22,740.14,146260.0
2020-05-11,777.13,760.86,777.13,760.66,107520.0
2020-05-12,782.45,777.35,783.77,766.7,104560.0
2020-05-13,783.69,781.85,788.06,760.2,122450.0
2020-05-14,780.73,783.69,785.1,773.62,86240.0
2020-05-15,773.95,780.73,785.26,771.25,80440.0
2020-05-18,787.27,773.95,787.27,770.61,81990.0
2020-05-19,799.31,787.53,808.17,787.53,119340.0
2020-05-20,803.32,799.28,803.35,793.75,97440.0
2020-05-21,815.55,803.57,815.55,802.49,134970.0
2020-05-22,803.14,815.51,815.51,802.82,95160.0
2020-05-25,807.25,803.35,809.12,799.23,81740.0
2020-05-26,815.01,807.55,815.96,807.55,101930.0
2020-05-27,801.36,816.04,821.36,801.36,119120.0
2020-05-28,804.06,801.38,810.43,800.16,91470.0
2020-05-29,806.23,804.0,808.83,801.46,76810.0
2020-06-01,821.47,806.44,821.47,806.44,176780.0
2020-06-02,818.7,821.89,827.11,818.12,147390.0
2020-06-03,824.29,819.02,824.54,818.33,89260.0
2020-06-04,823.77,824.3,831.49,823.51,135470.0
2020-06-05,826.47,823.46,826.47,818.33,147690.0
