Date; close 
22/06/2021;1489
23/06/2021;1490
24/06/2021;1487
25/06/2021;1500
28/06/2021;1521
29/06/2021;1530
30/06/2021;1529
01/07/2021;1545
02/07/2021;1555
05/07/2021;1557
06/07/2021;1488
07/07/2021;1539
08/07/2021;1521
09/07/2021;1494
12/07/2021;1443
13/07/2021;1441
14/07/2021;1410
15/07/2021;1430
16/07/2021;1438
19/07/2021;1374
20/07/2021;1411
21/07/2021;1407
22/07/2021;1428
23/07/2021;1402
26/07/2021;1404
27/07/2021;1410
28/07/2021;1408
29/07/2021;1428
30/07/2021;1447
02/08/2021;1448
03/08/2021;1470
04/08/2021;1472
05/08/2021;1486
06/08/2021;1477
09/08/2021;1498
10/08/2021;1494
11/08/2021;1488
12/08/2021;1477
13/08/2021;1484
16/08/2021;1501
17/08/2021;1494
18/08/2021;1490
19/08/2021;1505
20/08/2021;1450
23/08/2021;1412
24/08/2021;1418
25/08/2021;1429
26/08/2021;1412
27/08/2021;1419
30/08/2021;1431
31/08/2021;1429
01/09/2021;1427
06/09/2021;1442
07/09/2021;1444
08/09/2021;1434
09/09/2021;1447
10/09/2021;1448
13/09/2021;1445
14/09/2021;1438
15/09/2021;1445
16/09/2021;1449
17/09/2021;1456
20/09/2021;1459
21/09/2021;1446
22/09/2021;1453
23/09/2021;1458
24/09/2021;1460
27/09/2021;1439
28/09/2021;1451
29/09/2021;1451
30/09/2021;1454
01/10/2021;1442
04/10/2021;1444
05/10/2021;1456
06/10/2021;1462
07/10/2021;1463
08/10/2021;1477
11/10/2021;1510
12/10/2021;1510
13/10/2021;1506
14/10/2021;1503
15/10/2021;1505
18/10/2021;1510
19/10/2021;1507
20/10/2021;1505
21/10/2021;1489
22/10/2021;1489
25/10/2021;1477
26/10/2021;1483
27/10/2021;1516
28/10/2021;1529
29/10/2021;1532
01/11/2021;1517
02/11/2021;1521
03/11/2021;1531
04/11/2021;1528
05/11/2021;1532
08/11/2021;1536
09/11/2021;1527
10/11/2021;1524
11/11/2021;1514
12/11/2021;1528
15/11/2021;1529
16/11/2021;1517
17/11/2021;1520
18/11/2021;1503
19/11/2021;1500
22/11/2021;1517
23/11/2021;1533
24/11/2021;1565
25/11/2021;1572
26/11/2021;1567
29/11/2021;1553
30/11/2021;1538
01/12/2021;1550
02/12/2021;1541
03/12/2021;1504
06/12/2021;1481
07/12/2021;1513
08/12/2021;1516
09/12/2021;1530
10/12/2021;1519
13/12/2021;1521
14/12/2021;1516
15/12/2021;1519
16/12/2021;1510
17/12/2021;1514
20/12/2021;1514
21/12/2021;1511
22/12/2021;1504
23/12/2021;1477
24/12/2021;1507
27/12/2021;1515
28/12/2021;1524
29/12/2021;1516
30/12/2021;1520
31/12/2021;1536
04/01/2022;1559
05/01/2022;1546
06/01/2022;1545
07/01/2022;1532
10/01/2022;1515
11/01/2022;1500
12/01/2022;1530
13/01/2022;1526
14/01/2022;1524
17/01/2022;1479
18/01/2022;1477
19/01/2022;1483
20/01/2022;1493
21/01/2022;1502
24/01/2022;1471
25/01/2022;1516
26/01/2022;1525
27/01/2022;1517
28/01/2022;1532
07/02/2022;1541
08/02/2022;1550
09/02/2022;1552
10/02/2022;1549
11/02/2022;1546
14/02/2022;1505
15/02/2022;1527
16/02/2022;1521
17/02/2022;1541
18/02/2022;1531
21/02/2022;1533
22/02/2022;1532
23/02/2022;1539
24/02/2022;1522
25/02/2022;1527
28/02/2022;1517
01/03/2022;1520
02/03/2022;1499
03/03/2022;1522
04/03/2022;1525
07/03/2022;1509
08/03/2022;1490
09/03/2022;1489
10/03/2022;1490
11/03/2022;1477
14/03/2022;1461
15/03/2022;1469
16/03/2022;1473
17/03/2022;1470
18/03/2022;1477
21/03/2022;1503
22/03/2022;1513
23/03/2022;1506
24/03/2022;1497
25/03/2022;1498
28/03/2022;1484
29/03/2022;1501
30/03/2022;1500
31/03/2022;1509
01/04/2022;1542
04/04/2022;1548
05/04/2022;1539
06/04/2022;1557
07/04/2022;1542
08/04/2022;1524
12/04/2022;1507
13/04/2022;1525
14/04/2022;1518
15/04/2022;1494
18/04/2022;1468
19/04/2022;1441
20/04/2022;1436
21/04/2022;1427
22/04/2022;1444
25/04/2022;1366
26/04/2022;1397
27/04/2022;1402
28/04/2022;1401
29/04/2022;1417
04/05/2022;1390
05/05/2022;1405
06/05/2022;1373
09/05/2022;1314
10/05/2022;1345
11/05/2022;1350
12/05/2022;1280
13/05/2022;1224
16/05/2022;1215
17/05/2022;1280
18/05/2022;1286
19/05/2022;1284
20/05/2022;1283
23/05/2022;1255
24/05/2022;1273
25/05/2022;1311
26/05/2022;1310
27/05/2022;1336
30/05/2022;1343
31/05/2022;1333
01/06/2022;1335
02/06/2022;1325
03/06/2022;1327
06/06/2022;1327
07/06/2022;1324
08/06/2022;1342
09/06/2022;1343
10/06/2022;1326
13/06/2022;1261
14/06/2022;1261
15/06/2022;1253
16/06/2022;1280
17/06/2022;1258
20/06/2022;1226
21/06/2022;1225
22/06/2022;1227
23/06/2022;1241
24/06/2022;1235
27/06/2022;1257
28/06/2022;1273
29/06/2022;1273
30/06/2022;1249
01/07/2022;1252
04/07/2022;1248
05/07/2022;1242
06/07/2022;1212
07/07/2022;1229
08/07/2022;1232
11/07/2022;1209
12/07/2022;1219
13/07/2022;1217
14/07/2022;1222
15/07/2022;1220
18/07/2022;1214
19/07/2022;1212
20/07/2022;1226
21/07/2022;1235
22/07/2022;1229
25/07/2022;1223
26/07/2022;1218
27/07/2022;1219
28/07/2022;1236
29/07/2022;1232
01/08/2022;1256
02/08/2022;1266
03/08/2022;1270
04/08/2022;1278
05/08/2022;1272
08/08/2022;1277
09/08/2022;1281
10/08/2022;1277
11/08/2022;1272
12/08/2022;1281
15/08/2022;1294
16/08/2022;1295
17/08/2022;1300
18/08/2022;1300
19/08/2022;1295
22/08/2022;1285
23/08/2022;1292
24/08/2022;1296
25/08/2022;1312
26/08/2022;1307
29/08/2022;1293
30/08/2022;1298
31/08/2022;1301
05/09/2022;1298
06/09/2022;1299
07/09/2022;1269
08/09/2022;1266
09/09/2022;1276
12/09/2022;1276
13/09/2022;1272
14/09/2022;1261
15/09/2022;1263
16/09/2022;1253
19/09/2022;1230
20/09/2022;1241
21/09/2022;1228
22/09/2022;1229
23/09/2022;1215
26/09/2022;1187
