Date,Close,Open,High,Low,Volume,sma_10,sma_20,ema_10,ema_20,rsi_7,rsi_9,rsi_14
2020-04-08,691.17,693.66,693.66,675.26,76670.0,651.04,670.73,666.61,686.57,70.96,65.32,47.93
2020-04-09,697.85,691.17,704.18,691.17,111270.0,655.59,667.71,672.29,687.64,95.01,69.99,54.27
2020-04-10,695.74,697.9,701.77,687.18,146870.0,660.5,666.54,676.55,688.42,95.16,71.31,55.23
2020-04-13,706.37,695.84,714.58,695.84,82300.0,666.91,666.02,681.97,690.13,94.75,93.63,70.35
2020-04-14,713.81,706.37,713.81,699.03,94920.0,676.99,666.8,687.76,692.38,93.83,95.94,74.47
2020-04-15,722.8,714.39,726.2,714.39,91990.0,688.19,667.96,694.13,695.28,90.76,95.59,71.66
2020-04-16,726.57,721.73,726.71,714.52,72700.0,697.97,669.25,700.03,698.26,89.18,94.74,74.83
2020-04-17,734.98,727.51,736.17,727.51,100570.0,706.56,672.02,706.39,701.76,95.61,92.59,78.14
2020-04-20,736.31,736.1,742.27,729.52,99010.0,711.92,675.16,711.83,705.05,95.06,91.22,95.03
2020-04-21,706.65,734.14,734.14,702.61,128950.0,713.22,678.84,710.88,705.2,57.77,59.79,79.18
2020-04-22,714.42,706.54,718.62,692.03,86110.0,715.55,683.29,711.53,706.08,55.97,60.34,77.79
2020-04-23,717.49,715.62,729.99,715.62,63430.0,717.51,686.55,712.61,707.16,52.92,63.41,74.99
2020-04-24,725.05,717.49,725.52,711.14,64550.0,720.44,690.47,714.87,708.87,51.83,61.97,69.13
2020-04-27,719.66,724.76,735.28,719.66,81800.0,721.77,694.34,715.74,709.9,44.53,53.85,62.38
2020-04-28,715.74,719.45,721.73,711.84,64780.0,721.97,699.48,715.74,710.45,33.61,45.02,61.51
2020-04-29,715.33,715.74,719.18,713.62,69760.0,721.22,704.71,715.67,710.92,31.84,41.68,58.7
2020-05-04,709.35,714.9,716.05,706.47,65870.0,719.5,708.73,714.52,710.77,53.96,30.31,56.52
2020-05-05,711.01,710.22,714.59,707.49,48700.0,717.1,711.83,713.88,710.79,43.91,30.66,52.43
