Time,bid_quality,bid_volume,ask_quality,ask_volume,volume_diff,matching_volume,negotiable_volume,SMA10,SMA20,EMA_10,EMA_20,RSI_7d,RSI_9d,RSI_14d,Positive,Negative,return_vn30
2020-10-02,87907,287353930,72669,310716680,-23362750,164531140,3603980,857.7620000000009,843.9275000000001,855.9467026828365,845.80033267321,62.89592729375559,64.4542077966491,65.13054967306367,1,0,1
2020-10-05,71158,274535230,70916,243810380,30724850,115090400,14040441,859.3780000000008,846.0945000000002,858.0836658314117,847.8860152757615,68.67344340007456,68.82937507933862,67.86494811377509,0,0,1
2020-10-06,71158,274535230,70916,243810380,30724850,148279580,7940350,861.2430000000007,848.2845000000001,860.4993629529732,850.1225852494985,71.71944239419344,71.19427724576343,69.39722618865424,1,0,0
2020-10-07,82140,261664850,69780,283357350,-21692500,157151510,7946960,862.4980000000007,850.6060000000001,862.3812969615235,852.0966247495462,70.58491995225857,70.34356662226733,68.89595325188075,1,0,0
2020-10-08,72356,250022750,66605,269672890,-19650140,139809540,8497662,864.1590000000008,852.8045000000002,863.7337884230647,853.7845652495894,68.09562660764051,68.51910449489672,67.85050202674034,0,1,1
2020-10-09,71158,274535230,70916,243810380,30724850,115723800,10032212,866.1410000000008,855.2530000000003,865.6967359825074,855.7603209401046,73.14776327882262,72.22505700097987,70.08589768445465,1,0,1
2020-10-12,71158,274535230,70916,243810380,30724850,130255360,13629900,867.3000000000008,857.3860000000002,867.3700567129606,857.5831475172375,73.53189077543898,72.5110427398674,70.26083180451076,0,1,1
2020-10-13,64295,185698640,54974,203174620,-17475980,103915810,14392271,869.5150000000007,859.6370000000003,869.3664100378769,859.5609429917863,77.09613791242086,75.19067970419043,71.910313486145,1,0,1
2020-10-14,71158,274535230,70916,243810380,30724850,176566350,67381271,872.8760000000008,862.5195000000003,873.5088809400811,862.6646627068543,85.93493814781695,82.75528447463412,77.32738901510966,0,0,1
2020-10-15,71158,274535230,70916,243810380,30724850,167589220,16753507,876.0380000000008,865.8875000000004,878.17999349643,866.1442186395349,88.5650572398093,85.32664692244634,79.50219296377246,0,1,1
2020-10-16,71158,274535230,70916,243810380,30724850,157348820,21832980,880.0460000000008,868.9040000000005,882.4363583152609,869.5200073405316,89.35253038207296,86.11619240937401,80.19573188867626,0,0,1
2020-10-19,71158,274535230,70916,243810380,30724850,142169620,18590459,883.6270000000007,871.5025000000003,886.267929530668,872.7571494985763,89.99808784880481,86.76005023001187,80.7589545458224,0,0,1
